date,exdate,cp_flag,strike_price,best_bid,best_offer,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style
20120904,20120922,C,1000000,402.5,405.4,0.674929,65498721,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1005000,397.5,400.4,0.66591,82964367,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1010000,392.5,395.4,0.656929,82911871,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1015000,387.5,390.4,0.647986,82964368,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1020000,382.5,385.4,0.63908,81954852,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1025000,377.5,380.5,0.638438,65498722,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1030000,372.5,375.5,0.629515,82911872,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1035000,367.5,370.5,0.620627,82964369,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1040000,362.5,365.5,0.611775,81954853,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1045000,357.5,360.5,0.602957,82964370,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1050000,352.5,355.5,0.594172,65475420,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1055000,347.5,350.5,0.585421,82964371,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1060000,342.5,345.5,0.576703,81954854,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1065000,337.5,340.5,0.568018,82964372,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1070000,332.5,335.5,0.559364,82911873,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1075000,327.6,330.5,0.557592,65475421,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1080000,322.6,325.5,0.548917,81954855,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1085000,317.6,320.5,0.540273,82964373,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1090000,312.6,315.6,0.537863,82911874,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1095000,307.6,310.6,0.529201,82911875,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1100000,302.6,305.6,0.520567,65475158,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1105000,297.6,300.6,0.511962,82911876,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1110000,292.6,295.6,0.503383,82911877,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1115000,287.6,290.6,0.494833,82911878,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1120000,282.6,285.6,0.486308,81954856,1403.531555,1,CBOE S&P 500 INDEX,E
20120904,20120922,C,1125000,277.6,280.7,0.483161,65498723,1403.531555,1,CBOE S&P 500 INDEX,E
